workload,LLC_MPKI,RB_MPKI
401.bzip2,0.8006629995996686,0.9460134995269933
403.gcc,0.20668049917327802,0.18387249926451002
429.mcf,3608.379343049172,117.38130388713653
433.milc,155.06315164715267,18.567235397880207
434.zeusmp,24.24152242727543,43.08650187074049
435.gromacs,0.533306,0.592344
436.cactusADM,4.824836480700654,6.222217975111128
437.leslie3d,38.00593619595251,16.764579365883364
444.namd,0.0715289999642355,0.047673999976163
445.gobmk,0.343645997250832,0.48909249608726
447.dealII,0.0793045,0.0621665
450.soplex,20.404773928583293,20.279449929021926
456.hmmer,0.660967994712256,1.043615491651076
458.sjeng,0.34837999878067,0.49886249825398127
459.GemsFDTD,24.13801789137892,29.5079328672143
462.libquantum,26.375765,19.752255
464.h264ref,0.16078949895486824,0.150173999023869
470.lbm,156.09534501709422,46.40587155914422
471.omnetpp,9.882227435765522,9.666703937166425
473.astar,5.350580454520066,8.60925042682137
481.wrf,0.05549399933407201,0.03796499954442001
482.sphinx3,12.63368140524739,10.295140422786448
483.xalancbmk,13.325907466685232,12.218359469454102
500.perlbench,1.727061489637631,1.780606989316358
502.gcc,0.7075509915093882,0.9070264891156822
505.mcf,12.949960935250195,8.179536459102318
507.cactuBSSN,4.013551963878032,3.8963129649331836
508.namd,0.389375498442498,0.382113498471546
510.parest,17.50885339494688,12.88314492270113
511.povray,0.0190999998472,0.013776499889788001
519.lbm,30.773930269195525,40.808379693937155
520.omnetpp,9.13290296803484,12.407320456574379
523.xalancbmk,1.653158986774728,1.328849489369204
525.x264,0.307178998464105,0.3841844980790775
526.blender,0.26408749683095006,0.18935599772772804
531.deepsjeng,0.300357,0.3403385
538.imagick,0.018875999848992,0.018790999849672002
541.leela,0.053207,0.021252
544.nab,0.2770055,0.278183
549.fotonik3d,25.488472808836455,31.604460762966546
557.xz,2.282257987447581,3.626965980051687
grep_map0,816.9235239646118,9.513872923889016
h264_encode,1.7014334846870987,0.10312499907187501
jp2_decode,26.13585630398108,6.117395454119534
jp2_encode,5.138444964030885,3.131748478077761
tpcc64,3.720772973954589,3.46380997575333
tpch17,7.994429940041776,7.476370443927222
tpch2,10.536192884101878,10.16074638823179
tpch6,2.2098039756921564,1.291877985789342
wc_8443,812.7724504978204,11.448931908408545
wc_map0,814.1630517079401,11.359970926160189
ycsb_abgsave,1.058064,1.233573
ycsb_aserver,2.7897484902358802,3.052737489315419
ycsb_bserver,2.597523983116094,2.3373489848072317
ycsb_cserver,2.558593,2.269927
ycsb_dserver,1.8280654926877382,1.821116492715534
ycsb_eserver,2.7398689821908517,2.5128844836662507
