W,R,L,QTH,ABO_ACT,single_row_security_margin,TRH_D_margin,SHQ_entries,sampling_fraction,A_star,K_floor_star,X_win_star,N_per_row_star,p_m_analytical,TRH_D_base_analytical,TRH_D_analytical,p_m_simulated,TRH_D_base_simulated,TRH_D_margin_simulated,TRH_D_simulated,mc_target_appearances,mc_windows,mc_seeds
72,3,16,4,12,16,16,32,0.041666666666666664,245,4,3.4027777777777777,2407,0.017846845727861906,1037,1053,0.01784130535978244,1038,16,1054,7346940,5000000,5
72,3,17,4,12,16,16,34,0.041666666666666664,259,4,3.5972222222222223,2277,0.017858148785966244,1029,1045,0.01796280615067617,1024,16,1040,6949805,5000000,5
72,3,18,4,12,16,16,36,0.041666666666666664,274,4,3.8055555555555554,2152,0.017846845727861885,1018,1034,0.017921878056335907,1015,16,1031,6569345,5000000,5
72,3,19,4,12,16,16,38,0.041666666666666664,288,4,4.0,2048,0.017846845727861892,1003,1019,0.0178432,1003,16,1019,6250000,5000000,5
72,3,20,4,12,16,16,40,0.041666666666666664,252,5,3.5,2340,0.018660665911374198,995,1011,0.01877274563182369,989,16,1005,7142855,5000000,5
72,3,21,4,12,16,16,42,0.041666666666666664,264,5,3.6666666666666665,2234,0.018660665911374198,989,1005,0.018667738311396884,988,16,1004,6818180,5000000,5
72,3,22,4,12,16,16,44,0.041666666666666664,276,5,3.8333333333333335,2137,0.018660665911374195,982,998,0.01859687752041633,984,16,1000,6521740,5000000,5
72,3,23,4,12,16,16,46,0.041666666666666664,288,5,4.0,2048,0.018660665911374198,973,989,0.01868736,972,16,988,6250000,5000000,5
72,3,24,4,12,16,16,48,0.041666666666666664,300,5,4.166666666666667,1966,0.018660665911374195,961,977,0.018637,962,16,978,6000000,5000000,5
72,3,25,4,12,16,16,50,0.041666666666666664,268,6,3.7222222222222223,2200,0.019418012905253194,954,970,0.019415551737383904,954,16,970,6716420,5000000,5
72,4,5,4,12,16,16,15,0.05555555555555555,216,1,3.0,2730,0.01608183939887814,1152,1168,0.01602611679477664,1156,16,1172,8333335,5000000,5
72,4,6,4,12,16,16,18,0.05555555555555555,252,1,3.5,2340,0.01608183939887814,1122,1138,0.01612702483810745,1120,16,1136,7142855,5000000,5
72,4,7,4,12,16,16,21,0.05555555555555555,276,1,3.8333333333333335,2137,0.0167396129429376,1060,1076,0.016709344438754076,1061,16,1077,6521740,5000000,5
72,4,8,4,12,16,16,24,0.05555555555555555,216,2,3.0,2730,0.018055160031056523,1039,1055,0.018114236377152725,1035,16,1051,8333335,5000000,5
72,4,9,4,12,16,16,27,0.05555555555555555,240,2,3.3333333333333335,2457,0.018055160031056523,1029,1045,0.018077733333333332,1028,16,1044,7500000,5000000,5
72,4,10,4,12,16,16,30,0.05555555555555555,264,2,3.6666666666666665,2234,0.018055160031056523,1016,1032,0.018099844826625286,1014,16,1030,6818180,5000000,5
72,4,11,4,12,16,16,33,0.05555555555555555,288,2,4.0,2048,0.018055160031056523,996,1012,0.01800368,998,16,1014,6250000,5000000,5
72,4,12,4,12,16,16,36,0.05555555555555555,306,2,4.25,1927,0.01850129520923486,959,975,0.018512483520630767,958,16,974,5882355,5000000,5
72,4,13,4,12,16,16,39,0.05555555555555555,252,3,3.5,2340,0.019839700743769874,942,958,0.01988854596656379,940,16,956,7142855,5000000,5
72,4,14,4,12,16,16,42,0.05555555555555555,270,3,3.75,2184,0.019839700743769874,936,952,0.01987334006332997,934,16,950,6666670,5000000,5
72,4,15,4,12,16,16,45,0.05555555555555555,288,3,4.0,2048,0.019839700743769874,927,943,0.01987744,926,16,942,6250000,5000000,5
72,4,16,4,12,16,16,48,0.05555555555555555,306,3,4.25,1927,0.019839700743769874,916,932,0.01979837989918995,917,16,933,5882350,5000000,5
72,4,17,4,12,16,16,51,0.05555555555555555,324,3,4.5,1820,0.019839700743769874,899,915,0.019829161982916198,900,16,916,5555555,5000000,5
72,4,18,4,12,16,16,54,0.05555555555555555,337,3,4.680555555555555,1750,0.02028998258834026,873,889,0.020338142137273238,872,16,888,5341245,5000000,5
72,4,19,4,12,16,16,57,0.05555555555555555,288,4,4.0,2048,0.021460715384223335,867,883,0.0215,866,16,882,6250000,5000000,5
72,4,20,4,12,16,16,60,0.05555555555555555,303,4,4.208333333333333,1946,0.021460715384223335,862,878,0.021465526601291623,862,16,878,5940595,5000000,5
72,4,21,4,12,16,16,63,0.05555555555555555,317,4,4.402777777777778,1860,0.021460715384223297,855,871,0.021459856328468554,855,16,871,5678230,5000000,5
72,4,22,4,12,16,16,66,0.05555555555555555,331,4,4.597222222222222,1781,0.02148124949712009,847,863,0.021651431482125092,842,16,858,5438070,5000000,5
72,4,23,4,12,16,16,69,0.05555555555555555,345,4,4.791666666666667,1709,0.02152231772291371,836,852,0.02152934704900343,835,16,851,5217390,5000000,5
